customer_id,age,income,credit_score,loan_amount,loan_term,employment_status,loan_status,active_loans,default_risk,pre_approved
1,59,82767,451,46674,24,2,2,0,0,1
2,49,53054,601,35451,36,1,1,3,0,0
3,35,100319,577,48801,36,1,1,4,0,1
4,63,127789,307,49476,12,0,2,1,0,0
5,28,70397,534,31549,36,2,1,3,0,1
6,41,38233,601,7321,60,0,0,3,0,0
7,59,136205,337,25440,24,1,2,3,0,1
8,39,115020,435,32566,48,1,0,3,0,1
9,43,50068,720,42446,48,2,0,3,0,0
10,31,90727,518,33521,60,0,1,1,0,1
11,31,115610,647,45692,36,2,2,0,0,0
12,44,95453,845,24798,24,2,0,2,0,1
13,56,129135,378,14565,36,1,0,0,0,1
14,60,50832,572,24027,12,2,2,2,0,0
15,44,133464,460,42500,36,1,1,4,0,0
16,23,111242,607,33095,12,0,0,3,0,1
17,42,38682,673,6631,48,2,2,4,0,0
18,22,117298,308,25329,24,2,2,4,0,0
19,44,48383,743,44020,12,0,0,2,0,1
20,64,83160,412,46206,36,2,0,1,0,0
21,50,118332,504,38937,36,0,0,3,0,1
22,58,48666,704,7787,48,1,1,4,0,0
23,22,83817,496,39000,60,1,1,0,0,0
24,41,116198,414,27875,60,2,2,3,0,0
25,53,135695,420,25514,36,1,2,1,0,0
26,32,59642,364,23580,60,1,0,3,0,1
27,42,66830,575,21291,24,0,2,4,0,0
28,64,128067,538,5288,60,1,1,0,1,0
29,45,35234,601,7734,24,1,2,4,0,0
30,47,82616,691,18464,36,1,2,1,0,1
31,62,34221,821,40008,36,0,0,2,0,1
32,48,36410,668,8814,36,2,0,0,0,1
33,36,105055,532,44154,48,0,1,1,0,0
34,35,86413,494,8851,60,2,2,1,0,0
35,64,26051,311,2600,12,2,2,4,0,1
36,23,135529,476,7866,12,1,2,4,1,1
37,57,100301,516,4692,36,1,0,4,0,0
38,27,101918,310,21373,60,0,1,2,0,0
39,41,103116,745,34100,24,0,2,3,0,0
40,29,147226,463,47477,12,0,2,3,0,0
41,59,81563,352,47877,36,1,2,4,0,0
42,38,122859,517,15847,12,2,2,4,0,0
43,24,69757,659,15507,12,0,1,2,0,1
44,45,146008,684,10963,12,2,1,3,1,0
45,34,102475,355,7106,36,1,1,2,0,0
46,29,76257,417,8333,36,1,0,1,0,0
47,46,120500,552,49826,48,1,2,3,0,0
48,22,25307,479,32913,48,1,2,4,0,0
49,40,81889,714,32283,48,2,2,0,0,1
50,48,93895,534,40423,12,2,2,1,0,0
51,27,120184,379,39076,60,0,1,0,0,1
52,64,60944,321,30815,36,2,0,2,0,0
53,28,124555,776,21584,48,2,0,2,0,1
54,55,63134,739,26382,60,2,2,2,0,0
55,34,52323,392,2064,48,0,1,4,0,0
56,37,141205,491,42848,48,2,0,2,0,0
57,56,96762,402,44883,60,2,0,0,0,1
58,60,112225,695,7820,48,2,2,1,0,0
59,24,121507,306,9512,12,1,0,4,0,0
60,22,50954,530,37725,12,2,2,1,0,0
61,26,80021,539,20615,12,0,1,2,0,0
62,62,114959,389,40776,24,0,2,3,0,0
63,24,120927,531,49812,48,0,0,4,0,0
64,49,104866,756,18884,24,0,2,2,0,1
65,38,95427,532,48455,36,1,2,4,0,1
66,46,29992,653,18952,60,0,2,3,0,0
67,64,26961,632,10711,36,1,2,0,0,0
68,54,37497,738,21473,24,1,2,0,0,0
69,30,142551,674,19249,12,1,2,0,0,0
70,56,57551,591,10597,48,0,0,3,0,0
71,34,101384,644,22984,48,0,2,1,0,1
72,51,80755,727,49022,12,1,0,3,0,1
73,35,38255,429,17388,48,1,2,3,0,1
74,28,29567,440,48137,60,0,1,2,0,0
75,34,73847,714,41727,60,2,2,0,0,0
76,43,129817,392,19782,60,2,0,4,0,1
77,60,73003,583,7608,36,2,0,1,0,0
78,41,45389,522,34115,12,0,1,4,0,0
79,36,69523,762,46180,60,0,2,2,0,0
80,38,148802,844,43773,24,1,1,2,0,1
81,44,86576,575,7500,60,0,2,1,0,1
82,46,68919,439,36342,36,0,2,4,0,0
83,45,107103,656,21209,24,0,0,1,0,1
84,61,147443,322,21977,12,1,1,1,0,1
85,49,28358,569,39040,12,1,1,0,0,0
86,35,113535,632,42462,60,2,0,4,0,0
87,21,132894,384,4521,24,2,0,0,0,0
88,45,146485,330,2300,24,0,1,0,0,0
89,27,101524,539,28075,60,0,0,0,1,1
90,29,148416,662,24979,60,1,2,3,0,1
91,44,130982,688,31802,48,2,1,2,0,0
92,21,122057,598,13225,48,2,1,2,0,1
93,64,30698,670,12481,60,2,0,3,1,0
94,28,91809,398,22217,36,0,2,1,0,0
95,44,118079,346,45813,48,0,1,4,1,1
96,31,80805,721,38153,60,0,1,4,0,0
97,37,56349,779,15755,24,1,2,4,0,0
98,28,101777,361,25914,48,2,0,0,0,0
99,55,75248,408,36592,36,1,0,4,0,0
100,55,100033,848,27269,12,2,0,4,0,0
101,53,132411,418,39732,24,0,0,4,0,0
102,25,123239,681,25555,36,1,2,2,0,0
103,62,69041,691,20874,36,1,2,3,0,0
104,59,56954,351,37535,36,0,1,1,0,0
105,61,33002,588,47344,24,2,1,3,0,0
106,48,94783,636,46036,36,2,2,4,0,0
107,27,132524,503,8925,12,2,1,1,0,1
108,29,112234,537,4107,48,2,2,1,0,0
109,28,149857,681,21852,24,0,0,3,0,1
110,32,44738,435,31183,36,0,2,3,0,0
111,54,35703,706,28617,60,0,2,3,0,0
112,53,138776,807,9722,48,0,1,3,0,1
113,43,74422,661,23631,24,1,2,0,0,0
114,44,108106,680,32622,60,1,0,2,0,0
115,57,86899,553,8883,60,1,0,2,0,0
116,55,37392,776,20708,36,0,1,4,1,0
117,64,69724,413,47221,24,2,1,0,0,0
118,60,57299,319,18197,36,1,2,1,0,0
119,42,40641,827,22134,12,1,1,3,0,0
120,47,104534,444,41386,60,0,0,4,0,0
121,55,31305,507,34550,12,2,1,1,0,0
122,21,123262,830,15642,36,2,1,2,0,0
123,55,43782,675,21439,48,2,0,1,0,1
124,57,103257,803,33243,60,0,2,3,0,1
125,34,130299,465,41557,48,2,2,3,0,0
126,23,102963,849,25583,24,1,1,2,0,1
127,21,137086,480,29349,60,1,0,3,0,0
128,25,146987,743,15002,12,1,0,0,0,0
129,46,45566,631,20523,48,0,0,4,0,0
130,34,149591,802,45749,24,2,2,2,0,1
131,59,92766,378,6007,60,0,0,2,0,0
132,47,31511,695,21435,24,2,0,1,0,1
133,29,139816,402,41343,12,0,2,2,0,1
134,35,132765,701,26093,60,1,0,4,0,0
135,35,143360,523,49952,24,0,2,0,0,0
136,46,51177,817,12294,36,0,1,1,0,1
137,62,29765,535,39405,60,0,1,4,0,0
138,33,45354,726,46538,60,1,1,2,0,1
139,52,48929,415,48310,60,0,1,3,0,1
140,59,53820,462,11908,60,0,1,3,0,0
141,52,136576,525,13699,36,1,2,4,0,0
142,24,54523,529,35633,12,2,2,0,0,0
143,50,96088,481,2376,36,0,2,3,0,1
144,57,91163,548,15255,36,1,0,4,0,0
145,43,102525,617,14647,24,0,1,1,0,0
146,59,38780,509,39176,48,1,0,2,0,0
147,35,31589,691,9163,48,2,0,0,0,1
148,63,59812,395,40051,24,2,0,0,1,0
149,49,118664,385,35744,36,0,1,1,0,1
150,56,70939,714,7443,24,1,0,0,0,0
151,33,76493,693,14324,60,2,1,4,0,0
152,52,129188,800,22143,24,2,1,0,0,1
153,27,118326,432,41363,24,1,1,0,0,0
154,42,65953,613,5920,60,0,0,0,1,0
155,48,90785,520,18375,48,2,1,4,0,1
156,22,44309,737,38996,60,2,1,2,0,0
157,62,79195,345,12748,12,2,2,3,0,0
158,26,140662,491,29535,24,0,0,0,0,0
159,48,50901,819,16715,24,2,2,1,0,0
160,48,48576,678,48252,48,1,2,1,0,1
161,64,56508,633,7450,36,0,0,4,0,0
162,64,99711,338,26010,60,2,2,2,0,0
163,40,50464,592,1020,36,1,1,0,0,0
164,50,85281,461,15717,12,1,2,4,0,0
165,31,41260,630,48348,60,0,2,3,0,0
166,48,149997,403,43885,12,1,1,2,0,0
167,45,60440,460,10664,12,0,2,2,0,1
168,59,120082,353,2099,12,0,1,4,0,1
169,53,130583,333,24225,60,0,0,1,0,1
170,21,81683,541,3637,60,1,2,2,0,0
171,47,149206,412,42349,48,0,0,1,1,0
172,33,66430,617,41512,24,0,2,2,0,1
173,61,26987,322,20797,36,1,1,2,0,0
174,23,139778,417,41225,36,0,2,2,0,1
175,59,50105,511,11807,12,2,0,3,0,1
176,26,103484,717,18738,60,1,1,1,0,0
177,28,143747,412,7402,60,1,1,3,0,0
178,47,38026,343,5521,12,1,0,1,0,0
179,29,93309,427,9382,24,2,0,3,0,0
180,57,70927,457,46460,36,0,2,3,0,1
181,53,100414,693,38121,48,1,2,3,0,1
182,62,82535,811,16065,24,1,1,4,0,1
183,64,67946,344,20934,60,1,0,3,0,0
184,44,81561,407,15425,12,2,0,2,0,1
185,35,35377,518,14111,36,2,2,0,0,1
186,52,78592,742,41799,12,2,2,3,0,1
187,52,32347,614,16510,60,0,1,0,0,1
188,44,58776,476,38851,12,0,0,0,0,0
189,61,28783,527,9816,36,2,0,2,0,0
190,32,80798,566,13317,12,0,0,0,0,0
191,59,29298,678,3175,36,2,0,0,0,0
192,22,95204,788,12341,12,0,2,0,0,0
193,23,111207,589,26654,12,0,2,1,0,0
194,57,125356,656,22608,36,2,2,3,0,0
195,37,80161,503,18579,12,1,1,3,0,0
196,22,85652,512,31194,24,1,0,0,0,1
197,22,59484,622,35837,48,0,2,2,0,0
198,48,123614,480,4358,24,0,0,1,0,0
199,43,137695,798,19822,48,0,2,2,0,0
